Time,Load,Extension,Disp (Strain 1)
(s),(kN),(mm),(mm)
0.00000,0.17464,0.00000,0.00001
0.10000,0.17906,0.00099,0.00003
0.20000,0.23908,0.00631,0.00028
0.30000,0.31165,0.01061,0.00054
0.40000,0.37634,0.01415,0.00080
0.50000,0.43502,0.01730,0.00099
0.60000,0.51534,0.02126,0.00131
0.70000,0.57937,0.02431,0.00157
0.80000,0.65631,0.02826,0.00184
0.90000,0.72419,0.03137,0.00208
1.00000,0.78907,0.03498,0.00232
1.10000,0.86908,0.03869,0.00262
1.20000,0.92817,0.04180,0.00287
1.30000,1.00674,0.04567,0.00321
1.40000,1.06889,0.04881,0.00344
1.50000,1.14085,0.05261,0.00370
1.60000,1.21399,0.05606,0.00399
1.70000,1.27794,0.05964,0.00427
1.80000,1.34957,0.06330,0.00460
1.90000,1.40308,0.06641,0.00483
2.00000,1.47393,0.07031,0.00512
2.10000,1.53376,0.07350,0.00530
2.20000,1.59574,0.07700,0.00561
2.30000,1.66167,0.08052,0.00594
2.40000,1.72038,0.08403,0.00618
2.50000,1.78661,0.08771,0.00644
2.60000,1.84081,0.09098,0.00673
2.70000,1.90247,0.09458,0.00696
2.80000,1.96333,0.09805,0.00720
2.90000,2.01961,0.10153,0.00738
3.00000,2.07778,0.10507,0.00763
3.10000,2.13356,0.10868,0.00785
3.20000,2.18693,0.11211,0.00805
3.30000,2.23825,0.11554,0.00823
3.40000,2.28986,0.11897,0.00846
3.50000,2.34264,0.12256,0.00864
3.60000,2.39608,0.12610,0.00887
3.70000,2.44376,0.12950,0.00908
3.80000,2.49834,0.13306,0.00932
3.90000,2.54406,0.13641,0.00949
4.00000,2.59880,0.14009,0.00974
4.10000,2.64456,0.14345,0.00988
4.20000,2.69489,0.14705,0.01007
4.30000,2.74486,0.15048,0.01022
4.40000,2.79142,0.15401,0.01040
4.50000,2.84696,0.15776,0.01063
4.60000,2.88489,0.16096,0.01077
4.70000,2.93800,0.16477,0.01095
4.80000,2.97654,0.16793,0.01108
4.90000,3.02130,0.17164,0.01123
5.00000,3.05920,0.17508,0.01136
5.10000,3.08663,0.17851,0.01148
5.20000,3.12896,0.18232,0.01163
5.30000,3.14661,0.18528,0.01170
5.40000,3.18722,0.18922,0.01185
5.50000,3.21506,0.19244,0.01196
5.60000,3.24412,0.19600,0.01205
5.70000,3.28253,0.19963,0.01222
5.80000,3.30476,0.20289,0.01230
5.90000,3.34919,0.20688,0.01245
6.00000,3.36920,0.20988,0.01249
6.10000,3.40739,0.21367,0.01272
6.20000,3.43874,0.21699,0.01280
6.30000,3.46696,0.22047,0.01289
6.40000,3.50846,0.22419,0.01307
6.50000,3.53011,0.22733,0.01312
6.60000,3.57110,0.23112,0.01326
6.70000,3.59968,0.23440,0.01337
6.80000,3.63365,0.23803,0.01347
6.90000,3.67155,0.24162,0.01355
7.00000,3.69774,0.24491,0.01366
7.10000,3.73869,0.24866,0.01382
7.20000,3.76696,0.25194,0.01390
7.30000,3.80440,0.25567,0.01405
7.40000,3.83703,0.25906,0.01418
7.50000,3.86705,0.26250,0.01425
7.60000,3.90626,0.26614,0.01439
7.70000,3.93695,0.26951,0.01452
7.80000,3.97440,0.27315,0.01465
7.90000,4.00809,0.27654,0.01477
8.00000,4.03922,0.27998,0.01489
8.10000,4.07850,0.28365,0.01501
8.20000,4.10908,0.28697,0.01510
8.30000,4.14354,0.29057,0.01524
8.40000,4.17829,0.29399,0.01538
8.50000,4.21096,0.29750,0.01548
8.60000,4.25169,0.30128,0.01563
8.70000,4.27885,0.30447,0.01572
8.80000,4.31886,0.30826,0.01587
8.90000,4.34962,0.31148,0.01601
9.00000,4.38198,0.31496,0.01609
9.10000,4.42600,0.31868,0.01628
9.20000,4.44980,0.32181,0.01635
9.30000,4.49237,0.32564,0.01652
9.40000,4.52215,0.32882,0.01665
9.50000,4.56101,0.33260,0.01677
9.60000,4.60161,0.33610,0.01692
9.70000,4.62550,0.33935,0.01699
9.80000,4.67534,0.34330,0.01721
9.90000,4.69587,0.34628,0.01726
10.00000,4.74114,0.35026,0.01743
10.10000,4.77474,0.35348,0.01753
10.20000,4.80588,0.35702,0.01766
10.30000,4.85364,0.36073,0.01783
10.40000,4.87310,0.36385,0.01790
10.50000,4.92693,0.36803,0.01810
10.60000,4.94698,0.37084,0.01814
10.70000,4.98687,0.37458,0.01831
10.80000,5.02935,0.37807,0.01841
10.90000,5.05597,0.38142,0.01854
11.00000,5.10558,0.38529,0.01878
11.10000,5.12658,0.38828,0.01880
11.20000,5.17389,0.39222,0.01900
11.30000,5.21011,0.39552,0.01913
11.40000,5.24278,0.39915,0.01921
11.50000,5.28887,0.40277,0.01937
11.60000,5.31119,0.40589,0.01943
11.70000,5.35894,0.40970,0.01958
11.80000,5.38971,0.41289,0.01966
11.90000,5.42958,0.41659,0.01981
12.00000,5.46777,0.42002,0.01993
12.10000,5.49627,0.42332,0.02006
12.20000,5.54503,0.42715,0.02025
12.30000,5.57954,0.43051,0.02039
12.40000,5.61611,0.43407,0.02052
12.50000,5.65466,0.43751,0.02061
