Time,Load,Extension,Disp (Strain 1)
(s),(kN),(mm),(mm)
0.00000,0.17622,0.00000,0.00004
0.10000,0.18189,0.00120,0.00006
0.20000,0.23199,0.00645,0.00034
0.30000,0.29548,0.01071,0.00082
0.40000,0.33469,0.01396,0.00106
0.50000,0.38411,0.01746,0.00144
0.60000,0.43862,0.02107,0.00176
0.70000,0.49239,0.02448,0.00212
0.80000,0.55066,0.02804,0.00252
0.90000,0.60967,0.03146,0.00298
1.00000,0.66997,0.03515,0.00335
1.10000,0.73496,0.03868,0.00374
1.20000,0.78792,0.04196,0.00416
1.30000,0.85262,0.04570,0.00465
1.40000,0.90226,0.04881,0.00501
1.50000,0.96031,0.05265,0.00546
1.60000,1.01482,0.05594,0.00583
1.70000,1.06693,0.05957,0.00624
1.80000,1.12659,0.06307,0.00665
1.90000,1.17105,0.06622,0.00692
2.00000,1.22978,0.07020,0.00733
2.10000,1.27673,0.07326,0.00767
2.20000,1.32994,0.07709,0.00807
2.30000,1.38337,0.08043,0.00843
2.40000,1.42947,0.08400,0.00877
2.50000,1.48916,0.08781,0.00916
2.60000,1.52790,0.09086,0.00945
2.70000,1.58570,0.09486,0.00986
2.80000,1.63093,0.09785,0.01017
2.90000,1.68183,0.10164,0.01059
3.00000,1.73940,0.10522,0.01111
3.10000,1.78095,0.10848,0.01145
3.20000,1.83948,0.11236,0.01185
3.30000,1.88071,0.11532,0.01222
3.40000,1.93616,0.11920,0.01263
3.50000,1.98621,0.12240,0.01298
3.60000,2.03304,0.12599,0.01325
3.70000,2.09115,0.12977,0.01369
3.80000,2.13249,0.13290,0.01401
3.90000,2.19048,0.13681,0.01443
4.00000,2.23569,0.13992,0.01473
4.10000,2.28419,0.14354,0.01506
4.20000,2.33669,0.14706,0.01541
4.30000,2.38072,0.15046,0.01576
4.40000,2.43538,0.15418,0.01616
4.50000,2.47903,0.15736,0.01646
4.60000,2.52801,0.16103,0.01685
4.70000,2.57778,0.16459,0.01725
4.80000,2.62104,0.16794,0.01761
4.90000,2.67088,0.17160,0.01793
5.00000,2.71294,0.17489,0.01824
5.10000,2.75921,0.17851,0.01854
5.20000,2.80674,0.18220,0.01887
5.30000,2.84428,0.18551,0.01912
5.40000,2.88758,0.18919,0.01937
5.50000,2.92582,0.19241,0.01962
5.60000,2.96768,0.19608,0.01989
5.70000,3.01301,0.19981,0.02019
5.80000,3.04330,0.20298,0.02043
5.90000,3.08576,0.20677,0.02065
6.00000,3.11368,0.20987,0.02082
6.10000,3.14846,0.21358,0.02104
6.20000,3.18061,0.21701,0.02124
6.30000,3.20532,0.22046,0.02140
6.40000,3.23905,0.22424,0.02163
6.50000,3.25436,0.22723,0.02172
6.60000,3.29039,0.23136,0.02195
6.70000,3.31053,0.23452,0.02208
6.80000,3.33253,0.23807,0.02221
6.90000,3.36357,0.24170,0.02240
7.00000,3.37951,0.24489,0.02252
7.10000,3.41359,0.24874,0.02277
7.20000,3.42855,0.25169,0.02290
7.30000,3.46011,0.25553,0.02313
7.40000,3.48654,0.25889,0.02331
7.50000,3.50797,0.26249,0.02348
7.60000,3.54261,0.26626,0.02374
7.70000,3.55666,0.26930,0.02388
7.80000,3.59190,0.27319,0.02408
7.90000,3.61006,0.27623,0.02422
8.00000,3.64135,0.28014,0.02443
8.10000,3.67044,0.28367,0.02461
8.20000,3.68788,0.28698,0.02474
8.30000,3.72418,0.29085,0.02491
8.40000,3.74096,0.29393,0.02501
8.50000,3.77227,0.29770,0.02523
8.60000,3.79732,0.30101,0.02542
8.70000,3.82110,0.30452,0.02555
8.80000,3.85196,0.30814,0.02579
8.90000,3.87338,0.31146,0.02588
9.00000,3.90400,0.31516,0.02609
9.10000,3.92899,0.31850,0.02626
9.20000,3.95225,0.32193,0.02638
9.30000,3.98375,0.32567,0.02656
9.40000,4.00834,0.32909,0.02672
9.50000,4.03609,0.33265,0.02693
9.60000,4.06281,0.33606,0.02710
9.70000,4.08625,0.33946,0.02725
9.80000,4.11918,0.34323,0.02747
9.90000,4.13836,0.34633,0.02758
10.00000,4.16909,0.35005,0.02775
10.10000,4.19597,0.35337,0.02795
10.20000,4.22003,0.35691,0.02811
10.30000,4.25776,0.36081,0.02843
10.40000,4.27245,0.36385,0.02849
10.50000,4.30773,0.36782,0.02874
10.60000,4.32713,0.37079,0.02889
10.70000,4.35596,0.37450,0.02906
10.80000,4.39287,0.37824,0.02929
10.90000,4.40854,0.38144,0.02943
11.00000,4.44773,0.38558,0.02968
11.10000,4.46188,0.38837,0.02979
11.20000,4.49478,0.39220,0.03002
11.30000,4.52374,0.39551,0.03025
11.40000,4.54511,0.39894,0.03039
11.50000,4.58358,0.40285,0.03061
11.60000,4.59735,0.40582,0.03068
11.70000,4.63733,0.40999,0.03090
11.80000,4.65551,0.41287,0.03101
11.90000,4.68354,0.41652,0.03120
12.00000,4.71666,0.42006,0.03146
12.10000,4.73710,0.42340,0.03157
12.20000,4.77727,0.42746,0.03184
12.30000,4.79232,0.43035,0.03194
12.40000,4.82674,0.43424,0.03210
12.50000,4.85459,0.43756,0.03224
12.60000,4.87603,0.44092,0.03237
12.70000,4.91110,0.44464,0.03265
12.80000,4.93131,0.44779,0.03273
12.90000,4.96457,0.45154,0.03300
13.00000,4.99583,0.45517,0.03324
13.10000,5.02060,0.45867,0.03338
13.20000,5.05133,0.46221,0.03355
13.30000,5.06896,0.46528,0.03368
13.40000,5.10377,0.46903,0.03395
13.50000,5.13563,0.47259,0.03414
13.60000,5.16011,0.47605,0.03430
13.70000,5.19215,0.47976,0.03453
13.80000,5.21399,0.48293,0.03470
13.90000,5.24709,0.48674,0.03490
14.00000,5.27560,0.49005,0.03508
14.10000,5.29851,0.49344,0.03519
14.20000,5.33569,0.49728,0.03543
14.30000,5.35468,0.50038,0.03555
14.40000,5.39046,0.50435,0.03588
14.50000,5.41442,0.50743,0.03602
14.60000,5.44120,0.51101,0.03622
14.70000,5.47597,0.51457,0.03643
14.80000,5.49443,0.51777,0.03657
14.90000,5.53747,0.52202,0.03687
15.00000,5.55564,0.52491,0.03700
15.10000,5.58521,0.52868,0.03723
15.20000,5.61867,0.53207,0.03741
15.30000,5.63644,0.53536,0.03754
15.40000,5.67742,0.53927,0.03778
15.50000,5.69208,0.54219,0.03790
15.60000,5.73170,0.54625,0.03811
15.70000,5.75649,0.54935,0.03826
15.80000,5.78213,0.55302,0.03842
15.90000,5.82209,0.55680,0.03869
16.00000,5.83445,0.55976,0.03882
16.10000,5.87405,0.56373,0.03905
16.20000,5.89656,0.56683,0.03920
16.30000,5.93024,0.57074,0.03938
16.40000,5.96120,0.57409,0.03963
16.50000,5.98088,0.57748,0.03978
16.60000,6.02130,0.58141,0.04007
16.70000,6.03745,0.58433,0.04019
16.80000,6.07190,0.58814,0.04045
16.90000,6.10146,0.59152,0.04064
17.00000,6.12633,0.59501,0.04082
17.10000,6.16071,0.59869,0.04105
17.20000,6.18212,0.60193,0.04117
17.30000,6.21593,0.60566,0.04136
17.40000,6.24322,0.60891,0.04153
17.50000,6.26820,0.61243,0.04169
17.60000,6.30617,0.61632,0.04195
17.70000,6.32758,0.61952,0.04205
17.80000,6.35931,0.62324,0.04230
17.90000,6.38797,0.62653,0.04247
18.00000,6.41161,0.62995,0.04267
18.10000,6.44688,0.63365,0.04290
18.20000,6.46826,0.63689,0.04306
18.30000,6.50181,0.64067,0.04331
18.40000,6.52975,0.64390,0.04344
18.50000,6.55571,0.64755,0.04363
18.60000,6.59428,0.65127,0.04385
18.70000,6.60894,0.65432,0.04394
18.80000,6.64486,0.65816,0.04416
18.90000,6.67052,0.66132,0.04437
19.00000,6.70063,0.66514,0.04456
19.10000,6.73682,0.66864,0.04477
19.20000,6.75369,0.67190,0.04485
19.30000,6.79513,0.67598,0.04513
19.40000,6.81067,0.67876,0.04524
19.50000,6.84718,0.68276,0.04550
19.60000,6.87874,0.68606,0.04572
19.70000,6.89907,0.68948,0.04590
19.80000,6.94046,0.69335,0.04619
19.90000,6.95349,0.69628,0.04627
20.00000,6.99620,0.70042,0.04655
20.10000,7.01660,0.70333,0.04669
20.20000,7.04394,0.70701,0.04688
20.30000,7.08278,0.71074,0.04713
20.40000,7.09976,0.71392,0.04723
20.50000,7.14235,0.71793,0.04752
20.60000,7.15874,0.72084,0.04759
20.70000,7.19274,0.72466,0.04780
20.80000,7.22342,0.72803,0.04799
20.90000,7.24549,0.73145,0.04813
21.00000,7.28396,0.73524,0.04841
21.10000,7.30196,0.73821,0.04854
21.20000,7.33871,0.74212,0.04876
21.30000,7.36920,0.74557,0.04900
21.40000,7.39268,0.74903,0.04914
21.50000,7.42515,0.75259,0.04936
21.60000,7.44777,0.75580,0.04951
21.70000,7.48400,0.75963,0.04970
21.80000,7.51339,0.76305,0.04989
21.90000,7.53855,0.76658,0.05007
22.00000,7.57358,0.77035,0.05034
22.10000,7.59242,0.77335,0.05045
22.20000,7.62560,0.77706,0.05067
22.30000,7.66038,0.78065,0.05089
22.40000,7.68196,0.78400,0.05105
22.50000,7.71700,0.78773,0.05132
22.60000,7.73721,0.79085,0.05147
22.70000,7.77252,0.79471,0.05174
22.80000,7.80160,0.79797,0.05194
22.90000,7.82466,0.80144,0.05207
23.00000,7.86459,0.80522,0.05237
23.10000,7.88120,0.80831,0.05247
23.20000,7.92340,0.81249,0.05272
23.30000,7.94393,0.81542,0.05288
23.40000,7.97273,0.81916,0.05306
23.50000,8.00699,0.82252,0.05327
23.60000,8.02303,0.82576,0.05337
23.70000,8.07036,0.82996,0.05367
23.80000,8.08383,0.83272,0.05374
23.90000,8.12206,0.83674,0.05398
24.00000,8.14770,0.83981,0.05414
24.10000,8.17147,0.84337,0.05434
24.20000,8.21111,0.84711,0.05458
24.30000,8.22627,0.85014,0.05469
24.40000,8.27039,0.85435,0.05501
24.50000,8.29058,0.85727,0.05516
24.60000,8.32299,0.86120,0.05536
24.70000,8.35722,0.86465,0.05561
24.80000,8.37346,0.86788,0.05570
24.90000,8.41390,0.87174,0.05598
25.00000,8.43470,0.87486,0.05614
25.10000,8.47099,0.87879,0.05640
25.20000,8.49885,0.88207,0.05652
25.30000,8.52211,0.88551,0.05667
25.40000,8.55722,0.88921,0.05690
25.50000,8.58174,0.89248,0.05710
25.60000,8.61043,0.89596,0.05727
25.70000,8.64325,0.89950,0.05754
25.80000,8.66829,0.90301,0.05773
25.90000,8.70467,0.90682,0.05799
26.00000,8.72693,0.91001,0.05812
26.10000,8.75762,0.91370,0.05836
26.20000,8.78796,0.91706,0.05853
26.30000,8.80846,0.92026,0.05865
26.40000,8.85087,0.92443,0.05896
26.50000,8.87230,0.92745,0.05908
26.60000,8.90071,0.93110,0.05929
